startDate,value
2020-08-19 12:02:05 -0400,69
2020-08-19 11:52:51 -0400,78
2020-08-19 11:51:21 -0400,76
2020-08-19 11:47:15 -0400,79
2020-08-19 11:38:07 -0400,79
2020-08-19 11:35:33 -0400,83
2020-08-19 11:31:17 -0400,78
2020-08-19 11:25:31 -0400,74
2020-08-19 11:20:59 -0400,82
2020-08-19 11:16:10 -0400,76
2020-08-19 11:08:11 -0400,78
2020-08-19 11:06:54 -0400,75
2020-08-19 10:59:51 -0400,78
2020-08-19 10:57:15 -0400,79
2020-08-19 10:48:56 -0400,75
2020-08-19 10:44:35 -0400,79
2020-08-19 10:41:10 -0400,75
2020-08-19 10:34:36 -0400,74
2020-08-19 10:30:31 -0400,77
2020-08-19 10:26:03 -0400,74
2020-08-19 10:21:11 -0400,74
2020-08-19 10:14:33 -0400,76
2020-08-19 10:11:29 -0400,74
2020-08-19 10:05:10 -0400,80
2020-08-19 10:01:24 -0400,76
2020-08-19 09:57:22 -0400,80
2020-08-19 09:51:48 -0400,79
2020-08-19 09:43:52 -0400,79
2020-08-19 09:40:57 -0400,81
2020-08-19 09:32:58 -0400,81
2020-08-19 09:28:56 -0400,82
2020-08-19 09:26:01 -0400,79
2020-08-19 09:19:01 -0400,75
2020-08-19 09:17:16 -0400,79
2020-08-19 09:10:00 -0400,82
2020-08-19 09:03:16 -0400,82
2020-08-19 08:58:45 -0400,83
2020-08-19 08:57:01 -0400,81
2020-08-19 08:51:26 -0400,81
2020-08-19 08:47:27 -0400,69
2020-08-19 08:41:41 -0400,66
2020-08-19 08:33:06 -0400,65
2020-08-19 08:27:41 -0400,63
2020-08-19 08:22:51 -0400,64
2020-08-19 08:21:46 -0400,63
2020-08-19 08:12:36 -0400,66
2020-08-19 08:09:36 -0400,66
2020-08-19 08:02:36 -0400,65
2020-08-19 07:57:51 -0400,66
2020-08-19 07:54:21 -0400,67
2020-08-19 07:50:37 -0400,64
2020-08-19 07:43:22 -0400,64
2020-08-19 07:40:41 -0400,61
2020-08-19 07:32:36 -0400,66
2020-08-19 07:27:41 -0400,65
2020-08-19 07:23:56 -0400,67
2020-08-19 07:19:01 -0400,63
2020-08-19 07:13:16 -0400,61
2020-08-19 07:08:06 -0400,62
2020-08-19 07:02:41 -0400,61
2020-08-19 06:59:46 -0400,61
2020-08-19 06:53:35 -0400,64
2020-08-19 06:48:56 -0400,64
2020-08-19 06:43:16 -0400,65
2020-08-19 06:37:36 -0400,66
2020-08-19 06:33:26 -0400,65
2020-08-19 06:30:54 -0400,65.0847
2020-08-19 06:28:14 -0400,64
2020-08-19 06:23:44 -0400,64
2020-08-19 06:20:03 -0400,60
2020-08-19 06:12:39 -0400,67
2020-08-19 06:08:14 -0400,65
2020-08-19 06:02:49 -0400,64
2020-08-19 05:57:34 -0400,68
2020-08-19 05:53:09 -0400,68
2020-08-19 05:48:34 -0400,66
2020-08-19 05:42:59 -0400,67
2020-08-19 05:37:34 -0400,64
2020-08-19 05:32:54 -0400,63
2020-08-19 05:28:09 -0400,63
2020-08-19 05:25:16 -0400,61
2020-08-19 05:18:08 -0400,63
2020-08-19 05:13:50 -0400,62
2020-08-19 05:07:39 -0400,63
2020-08-19 05:02:54 -0400,63
2020-08-19 04:57:49 -0400,64
2020-08-19 04:52:39 -0400,64
2020-08-19 04:47:33 -0400,64
2020-08-19 04:42:48 -0400,62
2020-08-19 04:37:43 -0400,62
2020-08-19 04:32:33 -0400,63
2020-08-19 04:30:48 -0400,63
2020-08-19 04:22:43 -0400,64
2020-08-19 04:17:48 -0400,66
2020-08-19 04:12:38 -0400,65
2020-08-19 04:08:33 -0400,62
2020-08-19 04:02:33 -0400,59
2020-08-19 03:57:58 -0400,60
2020-08-19 03:52:33 -0400,60
